group0,group1,group2,marka,model,catalog_number,reason
трансмиссия,диск,диск фрикционный,hyundai,R170W-7,,Not found on Avito
комплектующие рамы,круг,,sdlg,E6300F,,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,john deere,,,Not found on Avito
трансмиссия,диск,диск фрикционный,hyundai,R200W-7,,Not found on Avito
комплектующие рамы,круг,,john deere,,,Not found on Avito
трансмиссия,диск,диск фрикционный,hyundai,R170W-7,,Not found on Avito
запчасти двигателя,глушитель,,hyundai,R250,,Not found on Avito
комплектующие рамы,круг,,john deere,,,Not found on Avito
комплектующие рамы,круг,,john deere,,,Not found on Avito
комплектующие рамы,круг,,john deere,,,Not found on Avito
запчасти двигателя,глушитель,,hyundai,R290,,Not found on Avito
комплектующие рамы,круг,,john deere,,,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,sdlg,E6210FLC,,Not found on Avito
гидравлический компонент,гидромотор,гидромотор поворота,sdlg,E6210FLC,,Not found on Avito
трансмиссия,кулак,,hyundai,R170W-7,zgaq-02250,Not found on Avito
трансмиссия,кулак,,doosan,,110931-00168,Not found on Avito
трансмиссия,кулак,,hitachi,,,Not found on Avito
трансмиссия,кулак,,volvo,EW210C,,Not found on Avito
трансмиссия,кулак,,jcb,JS 200,,Not found on Avito
трансмиссия,кулак,,hyundai,R180W-9S,,Not found on Avito
трансмиссия,кулак,,hyundai,,,Not found on Avito
трансмиссия,кулак,,hyundai,R170W-7,,Not found on Avito
трансмиссия,кулак,,cat,,,Not found on Avito
трансмиссия,кулак,,hitachi,ZX160W,,Not found on Avito
трансмиссия,кулак,,hitachi,ZX160W,44720770,Not found on Avito
трансмиссия,кулак,,hyundai,R210,,Not found on Avito
трансмиссия,кулак,,hyundai,R140W-7,,Not found on Avito
трансмиссия,кулак,,hyundai,R210,,Not found on Avito
трансмиссия,кулак,,volvo,EW205D,,Not found on Avito
трансмиссия,кулак,,hyundai,,zgaq-02351,Not found on Avito
трансмиссия,кулак,,hyundai,,zgaq-02250,Not found on Avito
трансмиссия,кулак,,hyundai,,zgaq-03588,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,sany,,,Not found on Avito
трансмиссия,кулак,,hyundai,,zgaq-03587,Not found on Avito
ходовая часть,каток опорный,,john deere,,at402493,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,sany,,,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,sany,,,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,sany,,,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,sany,SY215,,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,sany,,,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,sany,,,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,sany,,,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,sany,,,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,sany,,,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,sany,,,Not found on Avito
